TimeStamp, Type, State, Seconds, ErrorCode, ErrorMessage, Application, Scope, Mandant, User, Report, SubReportTables, SubReportFields, Tables, Finds, Crit%, ReqRows, Rows, TempIndexCount, TempIndexRecs, OnTheFlyCount, OnTheFlyRecs, Memory, TempMemory, Parameter, Reused, Delayed, SnapshotMeta, RunningReports, OpenReports, Sessions
2023/06/20 10:41:33.148, rep, ok, 0.00089, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\ADOSperren\ADOSperrenVK.avx", 0, 0, 2, 3, 100,, 1, 0, 0, 0, 0, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\kd\abav\zentrale_daten\tmp_Zentrale...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|artikelNummer=219003323|variantenNummer=0", 23, 0, , 1, 120, 300
2023/06/20 10:41:33.206, rep, ok, 0.04718, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\Einkauf\DoppelteRechnungsNummer\DoppelteRechnungsNummer.avx", 0, 0, 1, 172, 100,, 170, 0, 0, 1, 170, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\out\HEAG\Werkstuecke\tmp_Werkstueck...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|BestellNr=5064793|LieferantenNr=71396|RechnungsNr=", 25, 0, , 1, 120, 300
2023/06/20 10:41:33.256, rep, ok, 0.00094, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\ADOSperren\ADOSperrenVK.avx", 0, 0, 2, 3, 100,, 1, 0, 0, 0, 0, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\kd\abav\zentrale_daten\tmp_Zentrale...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|artikelNummer=219003323|variantenNummer=0", 24, 0, , 1, 120, 300
2023/06/20 10:41:33.316, rep, ok, 0.05162, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\Einkauf\DoppelteRechnungsNummer\DoppelteRechnungsNummer.avx", 0, 0, 1, 172, 100,, 170, 0, 0, 1, 170, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\out\HEAG\Werkstuecke\tmp_Werkstueck...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|BestellNr=5064793|LieferantenNr=71396|RechnungsNr=", 26, 0, , 1, 120, 300
2023/06/20 10:41:33.444, rep, ok, 0.00610, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\Pruefung_Spezialmaterial\_v3_Pruefung_Spezialmaterial_Glas.avw", 0, 0, 7, 17, 25,, 1, 0, 0, 0, 0, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\kd\zent\peng\b5740c83-fd52-3558-8d5...|$Scope=DefaultScope|$Type=abadb-sqlite|$UserFmt='.E.|$UserMsg=de|Parameter1=106443", 0, 0, , 1, 120, 301
2023/06/20 10:41:35.943, rep, ok, 0.00204, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\Fusion\O112_Anzeige_Einlastdatum_Fix.avx", 0, 0, 6, 6, 100,, 1, 0, 0, 0, 0, 0.06, 0.00, "$Client=8370|$Drk=|$Lang=de|$Preview=1|$Scope=DefaultScope|$Type=pdf_page|$UserFmt='.E.|$UserMsg=de|Parameter1=181504|Parameter2=0", 33, 0, , 2, 118, 299
2023/06/20 10:41:35.952, rep, ok, 0.01165, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\Fusion\O112_Referenzen_Bestellungen.avx", 0, 0, 8, 12, 100,, 1, 0, 0, 0, 0, 0.06, 0.00, "$Client=8370|$Drk=|$Lang=de|$Preview=1|$Scope=DefaultScope|$Type=pdf_page|$UserFmt='.E.|$UserMsg=de|AufNr=181504|AufRNr=0", 34, 0, , 2, 119, 299
2023/06/20 10:41:35.956, rep, ok, 0.01194, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\Fusion\O112_Referenzen_AVOR_Planung.avx", 0, 0, 12, 33, 100,, 4, 0, 0, 0, 0, 0.06, 0.00, "$Client=8370|$Drk=|$Lang=de|$Preview=1|$Scope=DefaultScope|$Type=pdf_page|$UserFmt='.E.|$UserMsg=de|AufNr=181504|AufRNr=0", 34, 0, , 1, 119, 299
2023/06/20 10:41:41.750, rep, ok, 3.79673, 0, "", "ABAV", "", 8370, "biel[217]", "D:\Abacus\abac\kd\abav\HEAG\SVM\Fusion\R111\KopfInformationen.avx", 0, 4, 16, 34'210, 88,, 1, 1, 34'180, 1, 0, 0.31, 0.00, "$Client=8370|$Drk=|$Lang=de|$Preview=1|$Scope=DefaultScope|$Type=pdf_page|$UserFmt='.E.|$UserMsg=de|AufNR=32976", 85, 0, , 1, 119, 299
2023/06/20 10:41:42.045, rep, ok, 0.00150, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\ADOSperren\ADOSperrenVK.avx", 0, 0, 2, 3, 100,, 1, 0, 0, 0, 0, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\kd\abav\zentrale_daten\tmp_Zentrale...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|artikelNummer=212000106|variantenNummer=0", 25, 0, , 1, 120, 300
2023/06/20 10:41:42.186, rep, ok, 0.04649, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\Einkauf\DoppelteRechnungsNummer\DoppelteRechnungsNummer.avx", 0, 0, 1, 172, 100,, 170, 0, 0, 1, 170, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\out\HEAG\Werkstuecke\tmp_Werkstueck...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|BestellNr=5064793|LieferantenNr=71396|RechnungsNr=", 27, 0, , 1, 120, 300
2023/06/20 10:41:42.910, rep, ok, 0.01406, 0, "", "ABAV", "", 8370, "stmi[156]", "D:\Abacus\abac\kd\abav\HEAG\Fusion\U113_Anzeige_VKReferenz_AVOR.avx", 0, 0, 7, 1, 100,, 0, 0, 0, 0, 0, 0.06, 0.00, "$Client=8370|$Drk=|$Lang=de|$Preview=1|$Scope=DefaultScope|$Type=pdf_page|$UserFmt='.E.|$UserMsg=de|Parameter1=0", 11, 0, , 1, 119, 300
